sample ID;Latitude;Longitude;Year;season;Month;Day;Date;d15N;d13C;dist;chla_2m;sst_2m;mld_2m;wind_2m;PPv_2m
1;66.228;6.99;2009;2;6;23;174;7.720876215;-24.3416616;139.6811987;1.857771523;8.970849991;27.37660522;7.620206334;1487.668784
2;66.21;6.167;2009;2;6;23;174;6.878592065;-25.09927224;168.3677182;1.488808451;9.011987686;28.86250649;7.660261605;1265.923237
3;66.187;5.342;2009;2;6;23;174;6.0896309;-25.16262677;190.5304452;1.557815881;8.816705704;25.56800822;7.613844496;1295.345916
4;66.16;4.518;2009;2;6;24;175;5.287315652;-25.05507798;218.7429637;1.21524546;8.677545547;26.30095279;7.627030115;1115.5169
5;66.128;3.7;2009;2;6;24;175;4.928040922;-25.4010005;248.1503976;1.318333266;8.668390274;25.10522752;7.70421097;1168.716314
6;66.093;2.88;2009;2;6;24;175;NA;-25.36275177;279.6263683;1.196031289;8.741449356;25.27032766;7.842011638;1070.480703
7;66.053;2.065;2009;2;6;24;175;6.981663758;-25.30635998;311.9486004;1.286390864;8.760004044;25.42292022;7.90028527;1129.394707
8;66.008;1.25;2009;2;6;24;175;4.736103792;-24.79407918;345.4916726;1.244230326;8.34359169;20.75508895;7.859379052;1116.741772
9;65.96;0.442;2009;2;6;24;175;4.787743593;-25.00766109;379.5551824;1.283063834;7.986871243;18.65881747;7.799006419;1072.657201
10;65.907;-0.367;2009;2;6;24;175;5.637746718;-24.68884993;401.7521525;0.964119423;7.788201809;19.35924231;7.698736547;928.975073
11;65.85;-1.17;2009;2;6;24;175;6.162509334;-23.84940151;421.1841707;0.936481978;7.356408596;17.69823483;7.513355809;870.7220882
12;65.788;-1.97;2009;2;6;24;175;5.914065374;-23.70899542;397.459121;0.56460109;6.830316067;17.85833193;7.417458182;623.7079321
13;65.723;-2.765;2009;2;6;24;175;6.480211758;-23.29189123;373.7463913;0.65916999;6.756738186;16.82520529;7.373824883;685.4105225
14;65.653;-3.558;2009;2;6;24;175;6.285103734;-23.40658746;352.5519868;0.717193862;6.467553616;16.4074519;7.293588725;701.8065161
15;65.58;-4.345;2009;2;6;24;175;6.261588136;-23.89783211;332.905577;1.039305032;6.116540432;16.58505963;7.125421421;863.2404457
16;65.502;-5.127;2009;2;6;24;175;6.042036044;-23.70228662;307.1757811;1.430424433;5.714410305;16.34991701;6.977774086;975.0361187
17;65.42;-5.907;2009;2;6;24;175;7.949456492;-22.85175833;272.5335827;1.699279989;5.322137356;15.29177519;6.883780958;1071.424226
18;66.252;8.645;2009;2;6;23;174;5.416321278;-25.42956075;66.13462243;1.413535626;8.754266739;17.80079704;7.393165683;1241.667613
19;66.242;7.817;2009;2;6;23;174;8.386438548;-25.44250606;102.5661997;1.904754391;8.862451553;22.51865864;7.564149216;1488.616764
20;61.275;-2.832;2017;2;6;23;3096;4.180265386;-22.46499184;50.01255854;0.897089386;9.682092667;38.48584351;7.809363654;820.9695552
21;61.395;-3.48;2017;2;6;23;3096;3.160510707;-23.04833214;81.07751588;1.100215737;9.565546036;25.45543994;7.793203773;885.2201789
22;63.213;-8.71;2017;2;6;22;3095;2.576938776;-23.65791118;81.11963475;0.834375704;8.568689346;33.90056231;7.730732138;715.9764121
23;70.057;-7.482;2012;2;6;11;1258;5.486758235;-25.54587239;65.52547479;0.394230353;2.175744534;120.9808807;8.059363654;375.7488534
24;61.425;-3.603;2018;2;6;8;3446;4.550896499;-23.69276666;74.96250514;1.221988791;8.917535782;23.9595326;7.146707242;884.6253069
25;63.518;-9.372;2018;2;6;7;3445;NA;-22.67994557;125.8938331;0.922900441;7.726739407;28.69490483;7.661647433;683.285141
26;63.035;-8.348;2018;2;6;7;3445;2.771265652;-23.04553214;54.88266797;0.717965311;8.076868057;34.94119351;7.73586213;627.9540159
27;71.778;11.782;2012;2;6;25;1272;3.504832818;-24.02360555;233.3601826;0.600052416;6.094750881;69.59721404;8.66425295;682.1700033
28;71.778;10.715;2012;2;6;26;1273;4.116751057;-23.91489831;267.9778684;0.608717561;5.974420071;65.74988045;8.678269256;714.0923123
29;71.775;14.162;2012;2;6;25;1272;4.984578259;-23.54835136;160.2896891;0.759034734;6.490167141;39.54648684;8.462570507;789.6518471
30;71.755;7.89;2012;2;6;26;1273;6.754464832;-24.3724979;362.3169285;0.550410027;5.705895901;64.94189037;8.71543536;670.0127157
31;71.767;2.275;2012;2;6;26;1273;3.927295252;-25.2168713;366.006911;0.607381381;4.900018215;75.94356341;8.80948927;634.3970146
32;71.77;1.208;2012;2;6;27;1274;4.451465807;-25.05190655;328.6072399;0.631110038;4.612451077;56.02898426;8.689011443;661.2937796
33;71.767;0.145;2012;2;6;27;1274;4.453395137;-23.93752058;292.5307228;0.580390652;4.300652981;64.86434333;8.596396039;616.8225098
34;71.763;5.762;2012;2;6;26;1273;3.4690113;-25.00025022;427.1326028;0.542549488;5.478845119;122.326697;8.744622828;598.1899872
35;71.758;4.697;2012;2;6;26;1273;5.362121069;-24.47868919;449.7190218;0.738107345;5.345544338;101.644152;8.777574721;729.7993665
36;66.228;6.96;2010;2;6;8;524;5.734142303;-24.3142025;140.4188359;1.291871582;8.057703018;61.6624012;6.866713401;933.4399572
37;66.197;6.138;2010;2;6;9;525;NA;-23.2890183;167.8258725;1.140824887;8.230829239;29.67549961;6.898117382;909.1183872
38;66.16;5.318;2010;2;6;9;525;6.285123301;-23.38487913;190.4063075;1.181617851;8.18129921;51.18104375;6.924914095;896.6846422
39;66.118;4.5;2010;2;6;9;525;NA;-22.99392141;216.2608356;1.116260316;7.974420071;36.7773072;6.965528559;846.6177926
40;66.073;3.685;2010;2;6;9;525;NA;-22.95576421;245.3851654;1.053845324;7.820306301;69.43461542;7.022772951;802.1528719
41;66.023;2.873;2010;2;6;9;525;5.585892449;-22.54602626;276.774377;0.945219509;7.777368069;48.04163955;7.179882002;740.7871987
42;65.912;1.258;2010;2;6;9;525;6.242149923;-23.92345541;343.0259789;1.027790177;7.247064114;71.26572607;7.478843847;751.1505013
43;65.85;0.457;2010;2;6;9;525;6.193124596;-24.28717447;371.5344212;0.850702395;6.807855129;65.42968624;7.521524896;628.8739182
44;66.268;8.615;2010;2;6;8;524;7.972802954;-24.76417509;67.12126252;1.049430388;7.491631985;22.10840981;6.662514588;838.3692796
45;71.76;-6.948;2012;2;6;27;1274;7.905406117;-24.16769769;75.49838798;0.536560591;0.936547875;159.2891165;7.147886411;472.0489328
46;71.763;-8.015;2012;2;6;27;1274;7.756195966;-24.45957422;66.71695599;0.648628884;0.934564233;139.2494615;6.965581237;522.523784
47;71.76;-9.078;2012;2;6;28;1275;6.978834964;-24.50158939;65.82118571;0.596549794;0.934777856;81.31682255;6.802770844;515.2823989
48;65.707;-1.478;2010;2;6;9;525;6.767054612;-23.27652293;399.5708796;0.576994019;5.321160793;58.08773299;7.553301673;491.1189722
49;65.552;-5.502;2010;2;6;9;525;5.290198636;-25.38157813;290.0358631;0.380999523;3.867516994;47.38624202;7.619213563;339.6459189
50;65.508;-6.3;2010;2;6;9;525;4.685865773;-25.76825527;253.4600154;0.462110546;3.700158596;38.61342089;7.659418763;373.8168452
51;65.46;-7.095;2010;2;6;10;526;NA;-25.06395505;216.815416;0.460130823;3.357354641;35.47151517;7.586302191;366.0712967
52;65.685;-2.287;2010;2;6;9;525;NA;-23.71484655;380.7521113;0.653584611;4.980950832;55.85637957;7.574672588;485.1734195
53;65.658;-3.093;2010;2;6;9;525;NA;-23.55147301;360.5056735;0.566330503;4.787377834;53.50745483;7.575795027;442.9595422
54;65.627;-3.897;2010;2;6;9;525;NA;-25.04319616;345.0107307;0.534850367;4.342431545;62.60797473;7.555882877;412.3061811
55;65.592;-4.7;2010;2;6;9;525;NA;-25.46099599;326.6198729;0.533766109;4.092950344;52.75449813;7.562487844;404.3601309
56;69.835;-10.1;2012;2;6;28;1275;6.250032993;-24.19138619;88.75794547;0.952046508;1.771936059;102.6997923;7.0650731;546.8709975
57;67.85;-14.36;2012;2;6;30;1277;7.992616714;-24.11245873;86.11167954;2.531337515;2.539849758;35.49653034;6.254193951;1220.930965
58;67.848;-15.245;2012;2;6;30;1277;8.124549845;-23.84462864;79.68969743;2.31659042;3.538201809;54.75821348;6.209227503;1386.097292
59;67.842;-16.127;2012;2;6;30;1277;7.741110212;-23.77894401;81.34275498;2.294212123;3.582726955;52.32423715;6.123808675;1354.809765
60;67.847;-13.477;2012;2;6;29;1276;6.868640505;-24.7899842;106.2171998;0.606203526;2.122125149;22.88388017;6.397173237;497.5935635
61;67.838;-16.858;2012;2;6;30;1277;7.423665529;-23.83174721;90.84046821;2.416376938;3.540307522;49.35493613;6.093000357;1489.337532
62;67.668;-21.298;2012;2;6;30;1277;8.951441112;-22.71309841;63.01045843;1.826118334;4.433801174;18.76638271;6.154013226;1241.835979
63;67.845;-17.742;2012;2;6;30;1277;7.935349851;-21.53840023;78.85262082;1.515622214;3.782281399;29.80808003;6.049974877;1141.724622
64;67.847;-18.625;2012;2;6;30;1277;9.525383652;-22.76970186;68.60308352;1.324783546;4.081628323;19.5893819;6.054760438;1030.839531
65;67.843;-19.508;2012;2;6;30;1277;7.981477916;-22.37542873;77.16641847;1.324954191;3.674096584;19.09408147;6.089065742;708.1009979
66;50.413;-17.163;2010;2;6;19;535;9.079315861;-21.23135159;342.0454705;0.680088926;13.41195107;23.23409259;7.315194664;806.7149455
67;50.478;-16.648;2010;2;6;19;535;8.317011349;-22.21164317;315.2008658;0.668801107;13.37526894;21.43800318;7.325669411;806.0078456
68;50.538;-16.133;2010;2;6;19;535;6.472893446;-21.40368858;292.1423683;0.605628069;13.25985146;21.4555138;7.36162393;726.7009234
69;50.598;-15.618;2010;2;6;20;536;6.092411206;-21.51160394;270.2308921;0.517916523;13.27227211;21.64562911;7.299565612;655.8541155
70;50.655;-15.098;2010;2;6;20;536;6.924806957;-20.54093204;253.5119883;0.553247484;13.17409706;21.08278772;7.281562014;692.7664533
71;50.858;-13.015;2010;2;6;20;536;7.455776693;-21.08839637;122.2930231;0.572383731;13.11211586;19.90207156;7.373038771;671.9623462
